site,latitude_deg,longitude_deg,latitude,longitude,site_short
Community Center,32 33 16.3,117 02 43.9,32.55452778,-117.0455278,church
APCD - Donovan,,,32.578267,-116.921359,donovan
APCD - Beardsley St.,,,32.701492,-117.149663,downtown
Tijuana Estuary,32 34 29.0,117 07 36.2,32.57472222,-117.1267222,estuary
Senior Health Center,32 34 00.5,117 03 39.4,32.56680556,-117.0609444,health
Community Residence,32 33 42.3,117 02 48.0,32.56175,-117.0466667,martinez
Border McDonalds,32 32 40.1,117 01 45.0,32.54447222,-117.0291667,mcdonalds
San Ysidro Middle School,32 33 40.2,117 02 20.4,32.56116667,-117.039,middle
Nicoloff Elementary,32 33 58.6,117 03 57.0,32.56627778,-117.0658333,nicoloff
Outlets Border,32 32 32.4,117 02 16.2,32.54233333,-117.0378333,outlets
mexicali,,,,,POE MX
